metric,year_or_period,region_or_country,value,unit,source,verification_status,notes
全球MAU,2020,Global,732,million,Digital 2025报告,medium,
全球MAU,2021,Global,1048,million,多方估算,medium,
全球MAU,2022,Global,1360,million,多方估算,medium,
全球MAU,2023,Global,1600,million,多方估算,medium,
全球MAU,2024,Global,1920,million,Business of Apps,medium,
全球MAU,2025-02,Global,1590,million,Statista,medium,裁决: 1.59B(Statista Feb2025) vs 1.92B(BoA 2024) vs 1.99B 存在口径差异 采用Statista最新时点
全球广告可触达受众,2024,Global,2200,million,DemandSage,medium,高于MAU 含多账号
印尼广告可触达受众,2025,ID,180.11,million,DemandSage,high,全球第1
美国广告可触达受众,2025,US,153.12,million,DemandSage,high,排除未成年
巴西广告可触达受众,2025,BR,130.84,million,DemandSage,high,全球第3
美国MAU,2025,US,170,million,PMC/PNAS,medium,1-1验证通过 但口径不同于广告可触达受众
美国日均使用时长,2025,US,53.8,minutes,PMC/PNAS,high,验证通过
全球日均使用时长,2025,Global,73,minutes,Business of Apps,medium,
18-24岁用户占比,2025,Global,38.9,pct,DemandSage,medium,
25-34岁用户占比,2025,Global,32.4,pct,DemandSage,medium,
35-44岁用户占比,2025,Global,15.6,pct,DemandSage,medium,
45+岁用户占比,2025,Global,13.1,pct,DemandSage,medium,
男性用户占比,2025,Global,52.8,pct,DemandSage,medium,
女性用户占比,2025,Global,47.2,pct,DemandSage,medium,
东南亚广告可触达受众,2025,SEA,541.45,million,DemandSage,high,占全球24.5%
南亚广告可触达受众,2025,Southern Asia,318.24,million,DemandSage,medium,
西亚广告可触达受众,2025,Western Asia,187.85,million,DemandSage,medium,
东亚广告可触达受众,2025,Eastern Asia,168.0,million,DemandSage,medium,
欧洲广告可触达受众,2025,Northern Europe,120.0,million,DemandSage,medium,估算
北美广告可触达受众,2025,Northern America,175.0,million,DemandSage,medium,含美加
南非广告可触达受众,2025,Southern Africa,85.0,million,DemandSage,medium,估算
2024全球下载量,2024,Global,773,million,BusinessOfApps,high,全球下载量第1
2025Q1下载量,2025Q1,Global,244.51,million,Shopify,medium,
2025Q2下载量,2025Q2,Global,192.31,million,Shopify,medium,
累计下载量,2024,Global,5480,million,BusinessOfApps,high,首个非Facebook达3B累计
全球MAU季度,2023Q1,Global,1050,million,eMarketer,medium,保守估计
全球MAU季度,2023Q2,Global,1090,million,eMarketer,medium,
全球MAU季度,2023Q3,Global,1080,million,eMarketer,medium,
全球MAU季度,2023Q4,Global,1200,million,eMarketer,medium,
全球MAU季度,2024Q1,Global,1560,million,多方估算,medium,
全球MAU季度,2024Q4,Global,1590,million,Statista,medium,
