metric,year,value,unit,source,verification_status,notes
创作者经济生态规模,2025,104,billion USD,TelePrompter,medium,全球创作者经济总量
创作者经济生态规模预测,2026E,200,billion USD,TelePrompter,medium,预测
TikTok创作者累计发放,2025,1.34,billion USD,Influencer Marketing Hub,medium,
美国创作者分成年度,2024,509,million USD,Influencer Marketing Hub,medium,
全球创作者年度收入,2024,5.6,billion USD,InfluenceFlow,medium,
全球创作者年度收入预测,2025E,15,billion USD,TelePrompter,medium,预测
全球直播打赏收入,2025,3.8,billion USD,AmraAndElma,medium,
全球活跃创作者,2025,300,million,多方估算,medium,
美国全职工创作者中位收入,2024,133000,USD/year,多方估算,medium,YoY+33%
Creator Rewards Program RPM,2025,0.40-1.00,USD/千次,Soundstripe,medium,验证通过
高表现领域RPM(金融/科技),2025,1.40-1.50,USD/千次,Soundstripe,medium,
Creator Rewards门槛,2025,10000粉丝+100000观看/30天,,miraflow,medium,
旧Creator Fund RPM(已停),2023,0.02-0.04,USD/千次,Soundstripe,medium,2024年前旧项目
直播礼物分成比例,2025,50,pct给创作者,Soundstripe,medium,
TikTok Shop联盟营销佣金,2025,5-20,pct of GMV,Shopify/ContentGrip,medium,
微型创作者数(1K-10K粉),2025,50,million,多方估算,medium,月收入$50-200
中型创作者数(10K-100K粉),2025,25,million,多方估算,medium,月收入$200-1000
大型创作者数(100K-1M粉),2025,10,million,多方估算,medium,月收入$1K-10K
超级创作者数(1M+粉),2025,3.8,million,多方估算,medium,月收入$100K-2M+
微型创作者数(1K-10K粉),2022,20,million,多方估算,medium,
中型创作者数(10K-100K粉),2022,5,million,多方估算,medium,
大型创作者数(100K-1M粉),2022,0.5,million,多方估算,medium,
超级创作者数(1M+粉),2022,0.05,million,多方估算,medium,
总创作者数,2022,25.55,million,多方估算,medium,
总创作者数,2023,44.1,million,多方估算,medium,
总创作者数,2024,64,million,多方估算,medium,
总创作者数,2025,88.8,million,多方估算,medium,
TikTok Shop联盟驱动GMV占比(美国),2025,60,pct,Ringly,medium,联盟营销驱动60%美国GMV
