metric,tiktok,youtube,instagram,facebook,source,verification_status,notes
月活用户(十亿),1.92,2.65,2.0,3.07,多方2025估算,medium,TikTok第5 YouTube第2 Facebook第1
广告可触达(十亿),1.95,2.65,1.62,2.39,多方2025估算,medium,TikTok第3 仅次于YouTube和Facebook
互动率(pct),5.53,1.98(Shorts),2.35(Reels),0.48,多方2025估算,medium,TikTok领先2-3倍
日均使用时长(分钟 美国),53.8,,,33(FB),PMC/PNAS,high,TikTok最高
日均使用时长(分钟 全球),73,,,,Business of Apps,medium,
CPM(美元),10,6-10,8-12,,shno.co/多方,medium,TikTok略高于YouTube与Reels重叠
CPC(美元),1,0.5-0.8,0.8-1.2,,shno.co/多方,medium,TikTok较低
短视频市场份额(2022 pct),7(TikTok)+15(抖音)=22,15,16(Reels),,DemandSage,medium,
短视频市场份额(2027E pct),15(TikTok)+22(抖音)=37,12,8(Reels),,DemandSage,medium,预测 TikTok+抖音超Meta+YouTube
全球广告收入2024(十亿美元),23.58,40.4(YouTube),,,BusinessOfApps/多方,medium,TikTok追赶YouTube
美国社交电商份额2025(pct),18.2,,,,eMarketer,high,
广告收入增速2024(pct),37.1,,,,BusinessOfApps,high,
创作者年度收入2024(十亿美元),5.6,,,,InfluenceFlow,medium,
全球下载量2024(百万),773,,,,BusinessOfApps,high,全球第1
