metric,year_or_period,value,unit,source,verification_status,notes
全球直播电商市场规模,2025,172.9,billion USD,Grand View Research,medium,
全球直播电商市场规模,2026E,230.3,billion USD,Grand View Research,medium,预测
全球直播电商市场规模,2033E,2546.5,billion USD,Grand View Research,medium,预测
TikTok/抖音直播GMV,2020,8,billion USD,多方估算,medium,中国主导
TikTok/抖音直播GMV,2021,15,billion USD,多方估算,medium,
TikTok/抖音直播GMV,2022,25,billion USD,多方估算,medium,
TikTok/抖音直播GMV,2023,40,billion USD,多方估算,medium,
TikTok/抖音直播GMV,2024,60,billion USD,多方估算,medium,
TikTok直播占总GMV比,2025,25,pct,多方估算,medium,
平均直播转化率,2020,3,pct,多方估算,medium,
平均直播转化率,2025,5,pct,多方估算,medium,
峰值直播转化率,2025,30,pct,多方估算,medium,头部主播
BFCM 2025总收入,2025-11,500,million USD,Ringly,medium,黑五网一
BFCM直播YoY增长,2025-11,84,pct,Ringly,medium,
TikTok直播全球覆盖,2025,150,countries,多方估算,medium,
全球人口覆盖,2025,13.1,pct,多方估算,medium,
