metric,year,market_or_scope,value,unit,source,verification_status,notes
平均CPM,2025,Global,10.0,USD,shno.co,medium,
CPM竞争区间,2025,US,10-20,USD,ICUC Social,medium,
CPM新兴市场,2025,India等,2.5-6.0,USD,Marketing LTB,medium,
平均CPC,2025,Global,1.0,USD,shno.co,medium,
CPC范围,2025,Global,0.17-1.0,USD,data/tiktok_advertising_costs,medium,
平均CTR,2025,Global,0.84,pct,shno.co,medium,
CTR范围,2025,Global,0.61-1.0,pct,Lebesgue/Gupte Media,medium,
转化率,2025,Global,1.92,pct,多方估算,medium,
最低日预算,2025,Global,50,USD,TikTok Ads Manager,medium,
最低campaign预算,2025,Global,500,USD,TikTok Ads Manager,medium,
宕机Meta广告支出增幅,2025-01,US,22.4,pct,PMC/PNAS,high,3-0验证通过 14小时宕机自然实验
宕机Meta广告量增幅,2025-01,US,6.3,pct,PMC/PNAS,high,2-1验证通过
宕机CPM增幅,2025-01,US,12.1,pct,PMC/PNAS,high,2-1验证通过
In-Feed Ads收入占比,2022,Global,45,pct,tiktok_advertising_revenue,medium,
In-Feed Ads收入占比,2025,Global,35,pct,tiktok_advertising_revenue,medium,份额下降但绝对值增长
Spark Ads收入占比,2022,Global,8,pct,tiktok_advertising_revenue,medium,
Spark Ads收入占比,2025,Global,20,pct,tiktok_advertising_revenue,medium,增长最快
TopView收入占比,2022,Global,15,pct,tiktok_advertising_revenue,medium,
TopView收入占比,2025,Global,12,pct,tiktok_advertising_revenue,medium,
Branded Hashtag收入占比,2022,Global,20,pct,tiktok_advertising_revenue,medium,
Branded Hashtag收入占比,2025,Global,10,pct,tiktok_advertising_revenue,medium,
TikTok Shop Ads收入占比,2025,Global,12,pct,tiktok_advertising_revenue,medium,新兴
Video Shopping Ads收入占比,2025,Global,5,pct,tiktok_advertising_revenue,medium,新格式
短视频广告市场份额(TikTok+抖音),2022,Global,22,pct,DemandSage,medium,TikTok 7% + 抖音 15%
短视频广告市场份额(TikTok+抖音),2027E,Global,37,pct,DemandSage,medium,预测 超Meta+YouTube
短视频广告市场份额(Meta+YouTube),2022,Global,31,pct,DemandSage,medium,Meta 16% + YouTube 15%
短视频广告市场份额(Meta+YouTube),2027E,Global,24,pct,DemandSage,medium,预测
Instagram广告预算重分配份额(禁令情景),2025,US,22.4,pct,eMarketer,high,3-0验证通过 最大单一受益者
Meta+YouTube合计份额(禁令情景),2025,US,50,pct,eMarketer,high,3-0验证通过
TikTok互动率,2025,Global,5.53,pct,多方估算,medium,vs Instagram 2.35% YouTube 1.98%
Instagram Reels互动率,2025,Global,2.35,pct,多方估算,medium,
YouTube Shorts互动率,2025,Global,1.98,pct,多方估算,medium,
Facebook互动率,2025,Global,0.48,pct,多方估算,medium,
TikTok账户平均互动率,2025,Global,3.7,pct,多方估算,medium,企业账户中位数
营销人员计划>50%预算投放TikTok,2025,Global,50,pct,Statista,medium,2-1验证通过 超半数
营销人员分配>=35%给达人合作,2025,Global,33.3,pct,Statista,medium,2-1验证通过
